date,beta1_level,beta2_slope,beta3_curvature,rmse
2006-11-15,6.228690127308973,2.362212495292816,0.5041152122081802,0.010151408005442487
2006-11-16,6.209564604072437,2.336651585294244,0.628579967429693,0.008964859744918985
2006-11-17,6.243982688010628,2.3036554732557852,0.4489194500374396,0.010358678496811274
2006-11-20,6.280603044427386,2.290224462711603,0.4826851224782531,0.007965140883609678
2006-11-21,6.073856902125167,2.135965678123991,0.7523876433237855,0.011766496523412499
2006-11-22,6.156695674424614,2.099460848956147,0.8291590465118563,0.014185679552743665
2006-11-23,6.144372731341165,2.1260192234094504,0.9679102424449929,0.015107416343395484
2006-11-24,6.223604506662647,2.0535772933441967,1.0889617038283392,0.010768328178104044
2006-11-27,6.108417921209413,1.9907236548355352,1.450370914113667,0.012999643613220684
2006-11-28,6.07229125068856,1.9745998332073387,1.4847889262802842,0.016536620063993448
2006-11-29,6.063003048657795,1.9368312594036357,1.3872434023190434,0.014781668354278294
2006-11-30,6.115568686514445,1.8834269417986245,1.4306290955865888,0.016761334483094734
2006-12-01,6.1089405212639605,1.8695005604895927,1.4529918419825472,0.019097816740433482
2006-12-04,6.16645225253239,1.8773593528929504,1.4045304103741747,0.0174329016714827
2006-12-05,6.147233205010318,1.850066485189086,1.4823247457217963,0.01899046445850087
2006-12-06,6.140381178048792,1.8490030984225105,1.5603925565963361,0.018752519975191787
2006-12-07,6.155845497408847,1.851839596169115,1.5311658168047881,0.01787928360386399
2006-12-08,6.126686158408278,1.9221850750691512,1.5692056307536544,0.01769091617520022
2006-12-11,6.126520676273561,1.8930054288491875,1.58969985678672,0.014680490342523469
2006-12-12,5.997501655030263,1.9042366405881053,1.6254546054769923,0.015960092683029864
2006-12-13,5.89393842631625,1.8782959568177022,1.746531210099509,0.020935679095829825
2006-12-14,5.8263159936261735,2.0150215925767285,1.719491195523767,0.014579157722217576
2006-12-15,5.817712253671537,2.0068901978288216,1.7229451812332441,0.016234996073221743
2006-12-18,5.848879055109001,1.9898331897437314,1.8013014316315819,0.017087341927520663
2006-12-19,5.858879055109003,1.989833189743732,1.8013014316315823,0.017087341927520833
2006-12-20,5.898879055109007,1.9898331897437398,1.8013014316315556,0.017087341927520663
2006-12-21,5.848879055109001,1.9898331897437314,1.8013014316315819,0.017087341927520663
2006-12-22,5.8446991811350335,1.947314952329872,1.7762671765068823,0.017132325083417322
2006-12-27,5.827487306777092,1.9668879954979903,1.7744443135153039,0.01825030890706731
2006-12-28,5.83350342143661,1.9463440449427125,1.8108158714161386,0.01795481377640412
2006-12-29,5.813174559305717,1.933933626821072,1.8630503423793419,0.01728611333338837
2007-01-02,5.756314515656566,1.8689688672556501,1.9148018007643997,0.017595399906685717
2007-01-02,5.756314515656566,1.8689688672556501,1.9148018007643997,0.017595399906685717
2007-01-03,5.730689889279285,1.8329755421177112,1.8854142466579682,0.016455008446882666
2007-01-04,5.820176162537576,1.8230404895759458,1.796161822018649,0.019546030714148933
2007-01-05,5.876143097968221,2.019017153997049,1.6182191356244284,0.017417693867162066
2007-01-08,5.89165110370427,2.0154375095243067,1.637689743317021,0.013732680138664051
2007-01-09,5.879380211857311,2.0859936477287544,1.6236697470687755,0.016803422625051488
2007-01-10,5.9218201602389025,2.0781916891260783,1.8993790949086855,0.01639052976661038
2007-01-11,5.948842769318657,2.007433903094366,1.9554926093099072,0.016211149626024414
2007-01-12,6.015538272654266,1.9392790560379818,2.1650595348982176,0.018649983321535463
2007-01-15,6.034875592080452,1.8441544595575505,2.025859920324328,0.019377164013681884
2007-01-16,6.018538585977539,1.7359893777091238,1.999769679900168,0.018369331708469074
2007-01-17,6.134820337299225,1.7180167667530692,2.0418133252653567,0.022671158709496306
2007-01-18,6.1163948903881025,1.7253156337174014,1.8931680500730468,0.021692748634890773
2007-01-19,6.091371883168013,1.6702697306255874,1.8941623097578828,0.022084532106916875
2007-01-22,6.064557658783335,1.7499449507005727,1.9087569424171023,0.020647647267558723
2007-01-23,6.088762690962929,2.0309825109462927,1.8487543612780424,0.02247006430783954
2007-01-24,6.1643076849109475,2.080888660536675,1.629997247451037,0.022957926342545527
2007-01-25,6.04318095454266,2.0182506416830317,1.7835715150823843,0.021703861865680102
2007-01-26,6.105588179454274,2.056130747159849,1.9291050484107908,0.027442039201770314
2007-01-29,6.094507370065857,2.055991779292237,1.901595007663124,0.025406832543697033
2007-01-30,6.13721090563874,2.130190019305945,1.816437029046439,0.02869471970036714
2007-01-31,6.108529571273146,2.1153687756109343,1.7062196520659076,0.025041450864362744
2007-02-01,6.037510734494991,2.034352278668954,1.7881451322014588,0.030219218095295142
2007-02-02,6.092785661983423,1.9847562305904838,1.6660559341173409,0.030237689884835633
2007-02-05,6.057368233400373,1.9860403993508342,1.710083256789048,0.03253267421839325
2007-02-06,6.012651887939907,1.9943957989713914,1.6695597926145476,0.03067283622066877
2007-02-07,5.996305404541773,2.035056111023336,1.6923963116441083,0.03198041211053384
2007-02-08,6.043195532910329,2.0670497221763724,1.6626335725968693,0.03039278627932855
2007-02-09,6.08561809699434,2.0807113437292792,1.6322512027667422,0.0347245108503855
2007-02-12,6.082541804673496,2.082111947543723,1.7237467929634451,0.0350898348058076
2007-02-13,6.0905260366396305,2.130166063631252,1.7254496455561985,0.03303774019963664
2007-02-14,6.039174001325771,2.124268074787335,1.5977951592471964,0.030524417386263113
2007-02-15,5.945555640621583,2.154753707756577,1.6929987406043319,0.030421176610393934
2007-02-16,5.9659848240788325,2.1893653677973957,1.6631551916021534,0.03168154697175452
2007-02-19,5.864542122330759,2.2500028508552474,1.735625931039275,0.0325320167390362
2007-02-20,5.891756718381546,2.330242712793868,1.6448978866182677,0.032035036005746594
2007-02-21,5.904407401470339,2.3309057258959935,1.7187137960876395,0.030379073214068977
2007-02-22,5.9462124926661195,2.329180475234966,1.5191051519075254,0.0274811405466609
2007-02-23,5.9534421729466676,2.2944523801400556,1.501480433384681,0.0281758536834893
2007-02-26,5.930195384488136,2.2486451396100176,1.7085363415135657,0.027770691179798294
2007-02-27,5.906805696038633,2.185382806588066,1.836409976027903,0.033067176929047676
2007-02-28,5.944000568498437,2.314308150164862,1.7776658299427763,0.03126412071735338
2007-03-01,5.880224359718927,2.305200204812889,1.9376773703925345,0.03364188588329686
2007-03-02,5.831622231375307,2.2831857910803373,1.7920289160820109,0.031094472304600478
2007-03-05,5.913045620593037,2.2702301395675573,1.745979364126588,0.029405677247039068
2007-03-06,5.867659097466784,2.207271067963543,1.7392178639090368,0.028701686432019105
2007-03-07,5.867659097466784,2.207271067963543,1.7392178639090368,0.028701686432019105
2007-03-08,5.86881576483895,2.1388788799782636,1.6832902922927078,0.030200650792667063
2007-03-09,5.874276342298751,2.0671886900439986,1.690143613344502,0.03247706587363208
2007-03-10,5.865051470983823,2.027189653622465,1.7377335242298664,0.02962029326322934
2007-03-12,5.849064450124492,1.976329584779394,1.7502768807870333,0.03019625831843597
2007-03-13,5.829542926892262,2.0383825394676873,1.8911607646209325,0.031649837642180274
2007-03-14,5.772148930003437,2.146673590795524,1.9316241911737355,0.02683263376816884
2007-03-19,5.572905977244481,2.0334013215232716,2.1660442541933547,0.022931109789931518
